reactor_tech,catalyst,toc_kg_s,foc_kg_s_yr,voc_kg,co2_kg_kg,h2o_kg_kg,h2ratio,co2ratio,kwh_kg
SMR,None,27427535.72,724454.7192,0.012271827,1.13442,2.669877132,1.00E-16,0,0.338415339
CO2 hydrogenation,None,37261091,726865,0.00079,0.020296,0.988,0.195,1.423,0.09466667
RCC no recycle,CZA Orig,16547666.03,736768.387,0.577106889,0.30690417,28.88611851,1.002353684,35.70399366,0.893415424
RCC recycle,CZA Orig,9124478.816,418737.4004,0.171532198,0.078377494,5.858573624,0.326532476,9.118113812,0.722240596
RCC recycle,CZA Ads 1,8679684.596,411535.9701,0.100617825,0.055031055,5.813588392,0.326532476,9.118113812,0.722240596
RCC recycle,CZA Ads 2,8679684.596,411535.9701,0.062254312,0.042401014,5.789252119,0.326532476,9.118113812,0.722240596
RCC recycle,CZA Ads 3,8405100.012,407090.315,0.038213177,0.034486188,5.774001388,0.326532476,9.118113812,0.722240596
RCC recycle,CZA Sel 1,8874950.683,413569.7969,0.173412342,0.077358451,5.393409848,0.316115291,8.999562954,0.673669991
RCC recycle,CZA Sel 2,8607057.991,408079.5889,0.175233588,0.076320715,4.92732434,0.305734987,8.878837492,0.624710205
RCC recycle,CZA Sel 3,8326081.295,402404.822,0.177066291,0.0753116,4.466774962,0.295574551,8.761441534,0.57620789
RCC recycle,CZA H2C 1,9124478.816,418737.4004,0.171532198,0.078377494,5.858573624,0.28,9.118113812,0.722240596
RCC recycle,CZA H2C 2,9124478.816,418737.4004,0.171532198,0.078377494,5.858573624,0.24,9.118113812,0.722240596
RCC recycle,CZA H2C 3,9124478.816,418737.4004,0.171532198,0.078377494,5.858573624,0.2,9.118113812,0.722240596
RCC no recycle,CZA,19150576.7,829689.0589,-0.295326977,0.378428177,118.9107366,3.35823621,44.02479055,1.159933059
RCC recycle,CZA,9496018.662,424680.6675,0.166447907,0.078312183,6.394659478,0.335099771,9.110515583,0.795378133
RCC no recycle,Ca_CZA,17207932.69,776946.9041,-0.515477742,0.260921395,107.3555699,3.053578151,40.47268355,1.064855341
RCC recycle,Ca_CZA,9205324.366,419228.0966,0.107224976,0.058228283,6.215437458,0.331063017,9.032044058,0.787037115
RCC no recycle,K_CZA,9554183.284,505648.4704,-0.252868545,0.078128125,39.84102368,1.266865819,18.59131747,0.483511199
RCC recycle,K_CZA,6621359.906,363127.6112,0.067171094,0.03181976,2.569029079,0.248240577,7.571810368,0.460713082
RCC no recycle,Na_CZA,8614498.487,472960.6527,-0.188174182,0.061446216,30.42295463,1.008276917,16.35464059,0.421910997
RCC recycle,Na_CZA,6791826.559,366645.4854,0.055064493,0.028732272,2.83527395,0.253104021,7.647434722,0.490364406
RCC recycle,K_CZA IWI,6621359.906,363127.6112,0.091807878,0.03181976,2.569029079,0.248240577,7.571810368,0.460713082
RCC recycle,K_CZA MLD,6621359.906,363127.6112,0.084753411,0.03181976,2.569029079,0.248240577,7.571810368,0.460713082
RCC recycle,Na_CZA IWI,6791826.559,366645.4854,0.077138125,0.028732272,2.83527395,0.253104021,7.647434722,0.490364406
RCC recycle,Na_CZA MLD,6791826.559,366645.4854,0.073347753,0.028732272,2.83527395,0.253104021,7.647434722,0.490364406
CO RCC,ZA-Z,11518008.49,448099.8701,0.17995129,0.055589749,11.39177703,0.220487187,8.145319804,4.147045453
CO RCC,K_ZA-Z,11230102.39,443591.1637,0.053909067,0.01588141,11.33431031,0.220675045,8.16086721,4.158162793
CO RCC,ZA,11343188.03,444942.7381,0.142958581,0.043679449,11.30463316,0.219370122,8.112070526,4.129130492
CO RCC,K_ZA,11344001.72,446281.5276,0.052443142,0.016033151,11.5044475,0.224007076,8.247232909,4.196429333
CO RCC,Na_ZA,11177225.99,442157.1376,0.064918417,0.019052547,11.25233248,0.218982949,8.102044275,4.136545567
CO RCC,Na_ZA 30,9673013.089,423965.6701,3.271356147,0.155387948,11.05370412,0.241006348,8.735783223,0.682398468
CO RCC,Au-Na_ZA,10992415.75,439383.7653,0.047057658,0.01363489,11.30316655,0.219795766,8.124298452,4.161641204
CO RCC,Au-Na_ZA 30,13971407.68,552479.9435,0.014468911,0.026978551,15.14056601,0.474786592,15.45701134,1.226586209
RCC DoE,Case 1a,6271026.95,357927.9049,0.165273375,0.045463229,1.083934794,0.216094416,7.61891341,0.318325268
RCC DoE,Case 1b,4885612.253,327434.5434,0.26382378,0.067367222,-0.002441609,0.188328788,6.827072466,0.196206984
RCC DoE,Case 1c,6817890.356,370854.4886,0.228140636,0.062607648,2.008591679,0.227567839,8.028643309,0.141156029
RCC DoE,Case 2a,6728870.101,367211.2894,0.147057801,0.043118534,1.42066988,0.21788603,7.806316604,0.385102918
RCC DoE,Case 2b,5963780.929,350462.2458,0.175794164,0.049004265,0.816048304,0.201690135,7.371481591,0.304182826
RCC DoE,Case 2c,8559549.763,411849.8756,0.187860353,0.060400814,4.32442194,0.273414687,9.356998305,0.227074365
RCC DoE,Case 3a,6552828.593,363522.5461,0.217406517,0.064828681,1.280615041,0.216837497,7.722142964,0.335982591
RCC DoE,Case 3b,5333270.409,336625.017,0.260542202,0.073918231,0.300773985,0.193078809,7.015467921,0.219790341
RCC DoE,Case 3c,6608262.058,365247.9648,0.328386332,0.09571215,1.618616345,0.220381582,7.805248558,0.118791069
